,Glance-EA-50-5,Glance-EA-50-10,Glance-EA-50-15,Glance-EA-50-20,Glance-EA-50-25,Glance-EA-50-30,Glance-EA-50-35,Glance-EA-50-40,Glance-EA-50-45,Glance-EA-50-50,Glance-EA-50-55,Glance-EA-50-60,Glance-EA-50-65,Glance-EA-50-70,Glance-EA-50-75,Glance-EA-50-80,Glance-EA-50-85,Glance-EA-50-90,Glance-EA-50-95,Glance-EA-50-100
storm-0.9.3,0.047,0.116,0.14,0.14,0.14,0.186,0.209,0.209,0.209,0.209,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233,0.233
storm-1.0.0,0.142,0.224,0.23,0.284,0.328,0.355,0.383,0.41,0.41,0.415,0.415,0.421,0.421,0.421,0.421,0.421,0.421,0.421,0.421,0.421
storm-1.0.3,0.176,0.294,0.353,0.412,0.412,0.412,0.412,0.412,0.412,0.412,0.412,0.412,0.412,0.412,0.412,0.412,0.412,0.412,0.412,0.412
storm-1.0.5,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
tika-0.8,0.156,0.238,0.327,0.381,0.388,0.401,0.422,0.435,0.442,0.449,0.456,0.476,0.49,0.497,0.497,0.497,0.497,0.497,0.497,0.497
tika-0.9,0.155,0.256,0.357,0.411,0.435,0.458,0.47,0.476,0.476,0.482,0.488,0.512,0.512,0.518,0.518,0.518,0.518,0.518,0.518,0.518
tika-0.10,0.19,0.279,0.352,0.391,0.425,0.447,0.464,0.48,0.486,0.503,0.514,0.525,0.559,0.564,0.564,0.564,0.564,0.564,0.564,0.564
tika-1.1,0.181,0.269,0.325,0.388,0.425,0.444,0.469,0.481,0.5,0.5,0.512,0.531,0.544,0.55,0.562,0.562,0.562,0.562,0.562,0.562
tika-1.3,0.266,0.361,0.38,0.449,0.468,0.506,0.506,0.532,0.544,0.544,0.544,0.576,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589
tika-1.5,0.227,0.338,0.357,0.416,0.461,0.506,0.513,0.532,0.539,0.539,0.552,0.584,0.584,0.584,0.597,0.597,0.597,0.597,0.597,0.597
tika-1.7,0.242,0.315,0.342,0.403,0.443,0.497,0.51,0.517,0.53,0.57,0.57,0.584,0.584,0.591,0.591,0.591,0.591,0.591,0.591,0.591
tika-1.10,0.288,0.365,0.453,0.535,0.565,0.618,0.624,0.653,0.659,0.676,0.682,0.688,0.712,0.718,0.724,0.724,0.724,0.724,0.724,0.724
tika-1.13,0.336,0.383,0.45,0.517,0.577,0.638,0.638,0.691,0.698,0.711,0.718,0.718,0.745,0.745,0.745,0.752,0.752,0.752,0.752,0.752
tika-1.15,0.387,0.476,0.548,0.589,0.653,0.694,0.694,0.718,0.734,0.742,0.742,0.742,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758
tika-1.17,0.4,0.426,0.53,0.565,0.635,0.687,0.687,0.722,0.739,0.739,0.748,0.748,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765
ww-2.0.5,0.298,0.404,0.505,0.564,0.622,0.676,0.686,0.707,0.734,0.75,0.771,0.777,0.782,0.782,0.782,0.782,0.782,0.782,0.782,0.782
ww-2.0.10,0.322,0.414,0.523,0.569,0.621,0.649,0.667,0.718,0.73,0.753,0.759,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77
ww-2.1.1,0.31,0.375,0.473,0.511,0.576,0.62,0.652,0.663,0.696,0.712,0.717,0.728,0.728,0.734,0.734,0.734,0.734,0.734,0.734,0.734
