,Glance-EA-50-5,Glance-EA-50-10,Glance-EA-50-15,Glance-EA-50-20,Glance-EA-50-25,Glance-EA-50-30,Glance-EA-50-35,Glance-EA-50-40,Glance-EA-50-45,Glance-EA-50-50,Glance-EA-50-55,Glance-EA-50-60,Glance-EA-50-65,Glance-EA-50-70,Glance-EA-50-75,Glance-EA-50-80,Glance-EA-50-85,Glance-EA-50-90,Glance-EA-50-95,Glance-EA-50-100
mahout-0.4,36,1,259,1,124,1,45,1,182,1,733,1,45,179,4,70,280,296,297,297
mahout-0.5,216,35,95,39,566,1,15,134,257,861,481,10,548,20,463,400,545,561,562,562
mahout-0.6,210,1,163,48,903,291,342,132,560,411,81,1,386,225,3,1,548,564,565,565
mahout-0.7,54,11,312,11,177,11,454,11,2,156,196,11,2,11,1058,1141,758,758,758,758
mahout-0.8,929,644,612,18,191,3302,2263,647,2465,400,1386,974,3810,1739,2297,2455,2504,2517,2524,2524
mng-3.1.0,44,33,162,33,51,35,180,234,228,3,5,2,191,201,211,220,220,220,220,220
mng-3.2.0,4,97,5,62,51,128,5,60,228,52,5,5,191,201,211,220,220,220,220,220
mng-3.3.0,209,76,41,82,312,162,100,57,109,719,329,55,647,659,669,678,678,678,678,678
mng-3.5.0,98,97,285,150,63,360,1167,204,988,202,292,93,439,452,462,471,473,473,473,473
mng-3.6.0,99,109,263,322,1106,329,1275,33,658,1709,211,1935,439,452,462,471,473,473,473,473
nifi-1.2.0,1,33,106,535,26,5,88,96,1,26,859,82,276,65,26,12,32,32,32,32
nifi-1.5.0,162,85,96,258,418,1364,1251,208,483,272,638,260,248,109,8,317,531,531,531,531
nifi-1.8.0,35,276,477,260,75,563,233,569,89,142,581,680,47,345,28,776,61,61,61,61
nutch-1.3,94,8,60,237,287,8,518,458,333,34,14,251,14,4,414,222,226,226,226,226
nutch-1.4,176,137,393,241,1319,123,223,609,920,1272,695,228,301,243,426,222,226,226,226,226
nutch-1.5,302,319,526,743,113,803,923,188,488,153,981,497,639,963,426,222,226,226,226,226
nutch-1.6,152,272,481,683,415,113,818,486,686,459,937,812,106,743,225,12,12,12,12,12
