,Glance-EA-50-5,Glance-EA-50-10,Glance-EA-50-15,Glance-EA-50-20,Glance-EA-50-25,Glance-EA-50-30,Glance-EA-50-35,Glance-EA-50-40,Glance-EA-50-45,Glance-EA-50-50
groovy-2.1.6,0.0632022471910112,0.1264044943820224,0.1769662921348314,0.2078651685393258,0.2668539325842696,0.297752808988764,0.3525280898876404,0.4044943820224719,0.4087078651685393,0.4382022471910112
groovy-2.4.4,0.1123218776194467,0.1969823973176865,0.2539815590947192,0.3143336127409891,0.3805532271584241,0.4308466051969824,0.4719195305951383,0.5297569153394803,0.4400670578373847,0.4400670578373847
groovy-2.4.6,0.1170534813319879,0.2048435923309788,0.2704339051463169,0.3269424823410696,0.3955600403632694,0.4550958627648839,0.4904137235116044,0.557013118062563,0.4530776992936428,0.4762865792129162
groovy-2.4.8,0.1185468451242829,0.1797323135755258,0.2351816443594646,0.2963671128107074,0.3518164435946462,0.4072657743785851,0.4378585086042065,0.51434034416826,0.5717017208413002,0.4263862332695984
groovy-2.5.0,0.0739773716275021,0.1388163620539599,0.1949521322889469,0.242384682332463,0.2893820713664056,0.3389904264577894,0.3899042645778938,0.4303742384682332,0.4429939077458659,0.4290687554395126
groovy-2.5.5,0.0716627634660421,0.1367681498829039,0.2004683840749414,0.2482435597189695,0.3030444964871194,0.3592505854800937,0.4056206088992974,0.4562060889929742,0.4697892271662763,0.4964871194379391
hbase-0.94.5,0.0563991323210412,0.0845986984815618,0.1973969631236442,0.2355128602417105,0.2748682987294701,0.3377750232414007,0.4177254415866129,0.4335295940502014,0.4304307406259683,0.4279516578865819
hbase-0.98.0,0.0211815561959654,0.0276657060518732,0.0792507204610951,0.0927953890489913,0.1128242074927953,0.1427953890489913,0.1726224783861671,0.1788184438040345,0.1664265129682997,0.1995677233429394
hbase-0.98.5,0.0327613104524181,0.0536661466458658,0.1195007800312012,0.1486739469578783,0.1850234009360374,0.235569422776911,0.2822152886115444,0.2981279251170047,0.2975039001560062,0.163182527301092
hbase-0.98.11,0.0136054421768707,0.0213151927437641,0.0276643990929705,0.0385487528344671,0.0458049886621315,0.0503401360544217,0.0571428571428571,0.0666666666666666,0.0412698412698412,0.0517006802721088
hive-1.2.0,0.0583832335329341,0.1002994011976047,0.1511976047904191,0.1946107784431137,0.2589820359281437,0.3008982035928144,0.3622754491017964,0.4011976047904191,0.3727544910179641,0.2739520958083832
hive-2.0.0,0.0553702468312208,0.0987324883255503,0.1347565043362241,0.1687791861240827,0.2354903268845897,0.2961974649766511,0.3222148098732488,0.3582388258839226,0.3495663775850567,0.3228819212808539
hive-2.1.0,0.0568081991215226,0.0941434846266471,0.1389458272327965,0.1805270863836017,0.2191800878477306,0.2515373352855051,0.2909224011713031,0.3215226939970717,0.3038067349926793,0.2427525622254758
