,Glance-EA-50-5,Glance-EA-50-10,Glance-EA-50-15,Glance-EA-50-20,Glance-EA-50-25,Glance-EA-50-30,Glance-EA-50-35,Glance-EA-50-40,Glance-EA-50-45,Glance-EA-50-50
amq-5.14.0,0.0052817729058876,0.0047878103709418,0.0043051629936455,0.00384522232621,0.0034449590200459,0.0030215299814156,0.0027591412823499,0.0024172810449627,0.0021536897926166,0.0020027345716254
amq-5.15.0,0.0024338110407766,0.0022176880320833,0.0019582188872811,0.0016821781091368,0.0014331365565692,0.0012199214107183,0.0009943502824858,0.0008083670984611,0.0006894564613389,0.0006340592544313
bookkeeper-4.2.0,0.0074125218206925,0.0072055933585551,0.0069741900054914,0.0068569493629809,0.0066317423923611,0.0065121280917672,0.0064931068439192,0.0064417859296163,0.0064519298475445,0.0062948422905103
bookkeeper-4.4.0,0.0100847184258331,0.0098290374862759,0.0099532768836934,0.0094959421410036,0.0088793805259471,0.0085380116959064,0.0085971396432588,0.0086606994861594,0.0088355475686199,0.0090006413233375
calcite-1.8.0,0.0483570810932741,0.0473860673839457,0.0465388004871721,0.045394424472631,0.0443857036745141,0.0433225433691962,0.0427321047067781,0.0423222158292022,0.0423496569485127,0.0425935478106177
calcite-1.11.0,0.0430829196808494,0.0422642393022302,0.0414734591370028,0.0404948686784653,0.0396672124026863,0.0389320168049892,0.03826939758183,0.0379586071990336,0.0381154269018178,0.0381502755297677
calcite-1.13.0,0.0491194229809399,0.0478290000616105,0.0465462912810213,0.0448274180967238,0.0431927275461734,0.0417496055476975,0.0405635773524085,0.0397710153660741,0.039430980475282,0.0393646375231764
calcite-1.15.0,0.0432100082501209,0.0422562964801015,0.0411411613947528,0.0396898126400579,0.0380794374205606,0.0369161430189817,0.0357950848916031,0.0352226352711048,0.0350756533700137,0.0348450383193913
calcite-1.16.0,0.0416624697387021,0.0406811191851659,0.0395733469940356,0.0380867158949062,0.0365149751991989,0.035408088162161,0.0343772151587538,0.0336654825315429,0.0332906195245691,0.0330526789734353
calcite-1.17.0,0.028506494174268,0.0278890628022722,0.0272562127335305,0.0264777045481534,0.0256542344941273,0.0250579226389161,0.0244217134028207,0.0237132230302221,0.0235704143539434,0.0234123226962176
calcite-1.18.0,0.0236005428921283,0.023204423651828,0.0228147516282516,0.0221452715444934,0.0215669761910038,0.0210264655241222,0.0205165745423797,0.020097014503749,0.0200456377627502,0.0199333261641036
cassandra-0.8.6,0.0199752947430966,0.0196113045850652,0.0193096968797903,0.0190255141801917,0.0186375993308239,0.0183258283848513,0.0181157745880047,0.0180350214952291,0.0179583562937888,0.017898547776919
cassandra-1.0.9,0.0115124457914274,0.0114162070799425,0.0114490107456074,0.0114919540937201,0.0114580530805387,0.011437881873727,0.0113079247817327,0.0111092831351903,0.0111471658308527,0.0112636753400354
cassandra-1.1.6,0.0115936548981819,0.0113360374571221,0.0111479709921308,0.010982330474315,0.010746256482759,0.0106778996865203,0.0103674010843234,0.0101420179939028,0.0100935669821386,0.0098207981976693
cassandra-1.1.11,0.0071752924548161,0.0070011236371269,0.0069379264858831,0.0068712392351671,0.0067671795146946,0.0066360070710418,0.0064826477097253,0.0062611938107401,0.0061842075347293,0.0059929964198701
cassandra-1.2.11,0.0038809957028376,0.0038547705269014,0.0038576742714557,0.0038660064206131,0.003847772824902,0.0038841317381906,0.0038880649575977,0.0038453814074922,0.0037935156497767,0.0038016581029536
flink-1.6.0,0.0012943216692704,0.0012140644699363,0.0011276539824831,0.001045713941575,0.0009402782547985,0.0008421394204303,0.000773942990842,0.0007180164692463,0.0006731939666578,0.0006562885569527
groovy-1.5.5,0.0043980157353313,0.004089015461289,0.003911536068116,0.0038667248536023,0.0036627360951685,0.0035968905686308,0.0034834343344981,0.0032596678785944,0.0031384072876873,0.0030586607435458
groovy-1.6.0,0.0046220732887495,0.0043867449167111,0.0041771602918686,0.0038933016448808,0.003561579958676,0.0034332136534356,0.0033233066048588,0.0032674571805006,0.0032257772220258,0.0030787658734243
groovy-1.7.3,0.0063354997641385,0.0062182783771974,0.0059705407308217,0.0056879432624113,0.0053166274057921,0.0049682169204559,0.0048466390452043,0.0047328414577789,0.0045207956600361,0.0042444821731748
groovy-1.7.6,0.0045472989945702,0.0044148359637296,0.0043091748099891,0.0041490014504072,0.0040156322828152,0.0038445928495,0.0036408135964245,0.0035184227435861,0.0033557589675583,0.0032913147716545
groovy-1.8.1,0.0108047884594182,0.010103776561858,0.0095424980438184,0.0089880724321811,0.0084607286560358,0.0078553342504535,0.0075152975318613,0.0072952531466952,0.0069723435225618,0.0066747846479953
groovy-1.8.7,0.0016371367428242,0.0015249495505411,0.0014302783451149,0.0013969352088146,0.0013244621315756,0.0012668189408625,0.0012453628354737,0.0012088942013827,0.0011559559755918,0.0011503982982787
groovy-2.1.0,0.0056106340619784,0.0053954793517171,0.0052007478061,0.0049789686188939,0.004699800258489,0.0045712311810932,0.0041210094397798,0.0040276742167732,0.0038522404151088,0.0035812421049889
groovy-2.1.6,0.0033187051576758,0.0031755269996375,0.0030718423190836,0.0030378765027793,0.002891149869012,0.0028498472481874,0.0027063678899136,0.0025658714885685,0.0025160609598491,0.002340757554263
groovy-2.4.4,0.00445757724994,0.004137746353557,0.0039469424500312,0.0037276534467123,0.0034629316363874,0.003274435292529,0.00312914425355,0.0028728274562418,0.0026367657083071,0.0025111637606315
