,Glance-EA-50-5,Glance-EA-50-10,Glance-EA-50-15,Glance-EA-50-20,Glance-EA-50-25,Glance-EA-50-30,Glance-EA-50-35,Glance-EA-50-40,Glance-EA-50-45,Glance-EA-50-50,Glance-EA-50-55,Glance-EA-50-60,Glance-EA-50-65,Glance-EA-50-70,Glance-EA-50-75,Glance-EA-50-80,Glance-EA-50-85,Glance-EA-50-90,Glance-EA-50-95,Glance-EA-50-100
groovy-2.4.6,0.0242528966799512,0.048830040920863,0.0734728555538681,0.0982018625764957,0.1228446772095008,0.1475121182395409,0.172253438460686,0.1969537146867727,0.221641677714342,0.2464486683275803,0.2711079005586088,0.2959395175688821,0.3179473077191441,0.3326164315529816,0.3377715573323045,0.3384200524542257,0.3384241568537315,0.3384241568537315,0.3384241568537315,0.3384241568537315
groovy-2.4.8,0.0244022888114342,0.0491025149172713,0.0737904970247083,0.0985315364585459,0.123231762564383,0.1479156633390199,0.1726362961088573,0.1973610102114946,0.2220204229893314,0.2468594144103698,0.2714657698618061,0.2962353786252438,0.3181766237582545,0.3327347378559943,0.3380772024912455,0.338750622403252,0.338754703736052,0.338754703736052,0.338754703736052,0.338754703736052
groovy-2.5.0,0.0241397595402912,0.0485572778200628,0.0730252976888308,0.0975907134792348,0.1221741655514232,0.1466926870091877,0.1711859576724539,0.1958018750518543,0.2204358287130391,0.245228501653927,0.2698660625714688,0.2945865903852189,0.316453778420671,0.3315068591979626,0.3374624394431839,0.3392299950580588,0.3402869211706268,0.3413366327704811,0.3418993647621555,0.3418993647621555
groovy-2.5.5,0.0242319248961283,0.0487226303607113,0.0732061474761706,0.0978370257486665,0.1224103972281725,0.1469334502638124,0.1715391693143752,0.1961448883649381,0.2208404617795477,0.2456654254783846,0.2702855212271949,0.2950925140532225,0.3169486895639547,0.3320406285492474,0.3379063214342194,0.3396423077476027,0.3406954008942306,0.3417413056917348,0.3423019969233866,0.3423019969233866
hbase-0.94.5,0.0248004242225292,0.0499976552326189,0.0741992619393751,0.0992990949197909,0.1243772838936125,0.1491488494406828,0.1737580849382965,0.1990996093256809,0.2243184843423649,0.2495662180345077,0.2747850930511917,0.2999678947235519,0.3208868270968533,0.3326936326939934,0.338151529690166,0.3381948177033544,0.3381948177033544,0.3381948177033544,0.3381948177033544,0.3381948177033544
hbase-0.98.0,0.0248144499835825,0.04982390874256,0.0743050103921343,0.0992294653259396,0.1240772501429231,0.1488133632680137,0.1735394759430841,0.1985522681854016,0.223515058177618,0.2483945110863322,0.2733523008535384,0.2982934232040442,0.3211661191420281,0.3383985612685904,0.3402619784556971,0.3402619784556971,0.3402619784556971,0.3402619784556971,0.3402619784556971,0.3402619784556971
hbase-0.98.5,0.0248188032830202,0.0497867463375649,0.0742878170638593,0.099166600472384,0.1239724350796195,0.14863399316875,0.1733247307783961,0.1983494117894989,0.2233351867732475,0.2482382864488685,0.2732256825170903,0.2982600900350316,0.3212519311168785,0.3386591361889277,0.340664417682141,0.340682249611345,0.340682249611345,0.340682249611345,0.340682249611345,0.340682249611345
hbase-0.98.11,0.024784778282179,0.0496109232586536,0.074449325033438,0.0992632132116029,0.1240893581880775,0.1489292920626506,0.1737539049393365,0.1985754536164449,0.2234199837903842,0.2482721744632671,0.2731075120384741,0.2979520422124134,0.3211648861113622,0.3384423754287964,0.3402900877739969,0.3402900877739969,0.3402900877739969,0.3402900877739969,0.3402900877739969,0.3402900877739969
hive-1.2.0,0.0247294197077526,0.0495908858131646,0.0744305355572243,0.0992988910399055,0.1241339478657857,0.1489747458393902,0.1737833933857385,0.1986689723115927,0.2235040291374729,0.2483815704565131,0.2730168353415868,0.2976004298971416,0.3204984234808349,0.3322448117248015,0.3381398222081372,0.3394235428392961,0.3397737528504798,0.3397737528504798,0.3397737528504798,0.3397737528504798
hive-2.0.0,0.024621409117,0.0493564629152364,0.0741030737997002,0.0988650941324673,0.1235712552151351,0.1482620068494997,0.1730230640917478,0.1977841213339959,0.2225471047572819,0.2473322392625038,0.271930534207049,0.2964614128152676,0.3195900316278926,0.3319522615291566,0.337506404551951,0.3387959827568274,0.3391070609944487,0.3391070609944487,0.3391070609944487,0.3391070609944487
hive-2.1.0,0.0244794600180271,0.0491876493407985,0.0738397864228816,0.0985235658989016,0.1232163860589036,0.1479309038604624,0.1726110670628897,0.1973753086263494,0.2221368379846145,0.24696346026755,0.2716327746491989,0.2962026415070458,0.3193422721589424,0.3319748198869733,0.3377192704891281,0.3390889341123992,0.3393637709054516,0.3393637709054516,0.3393637709054516,0.3393637709054516
ignite-1.4.0,0.0238437752644168,0.0483793267267317,0.0730982405547545,0.0978538268559188,0.1225010626682558,0.1471382968970087,0.171947224977288,0.1971162100665938,0.2223318692126253,0.247640876472108,0.2723281186187813,0.2941932472641501,0.3025912436135721,0.3047765896266909,0.3052650002917128,0.3053900200865137,0.3054750335469782,0.3055600470074428,0.3056050541335711,0.3056050541335711
ignite-1.6.0,0.0239012823643279,0.0485012605944357,0.0733115830536098,0.0981454405314207,0.1228013144307908,0.147479252410133,0.1724425524904462,0.1976029583518426,0.2227574804585798,0.2479605435412554,0.2726590746619047,0.2947275674498925,0.3035502575613602,0.3059111141183634,0.3063788726137697,0.3064877220749649,0.3065627399468697,0.3066377578187744,0.3066760022240593,0.3066760022240593
log4j2-2.1,0.0234269986558279,0.0478013185687768,0.0720220188184087,0.0960250912116751,0.1202841963771362,0.1441976573001344,0.1686359854061319,0.1934327593932023,0.218011905523907,0.2428726877040261,0.2673366190872431,0.2900851308967548,0.3084810855789541,0.3200281636049414,0.3241630928758881,0.3252000256032772,0.3254816616526915,0.3254816616526915,0.3254816616526915,0.3254816616526915
log4j2-2.2,0.023490146622336,0.0479611724691405,0.0722665953299958,0.0962662896014063,0.1206481446096228,0.1446351001898065,0.1691443421102915,0.1940612221500363,0.2187615444389243,0.2436529470962153,0.2681749277079273,0.2909899236952395,0.3094865033566451,0.3211551445204519,0.3253716513165437,0.3265308722181883,0.3268238621164062,0.3268238621164062,0.3268238621164062,0.3268238621164062
log4j2-2.3,0.0235647336352512,0.048075588802967,0.0723341448953589,0.0965043963113875,0.1207629524037794,0.144870129050977,0.1693557543111604,0.1942829029531606,0.2189451375660708,0.2439227460231358,0.2684336011908516,0.2911152880624692,0.309394356069685,0.3209244238119867,0.3249485940634027,0.3260965548561264,0.3263866987927489,0.3263866987927489,0.3263866987927489,0.3263866987927489
log4j2-2.4,0.0232251167255749,0.0474538552166513,0.0713553257407165,0.0956604267574289,0.119790984858402,0.1436924553824671,0.1681611903826853,0.1927826504341755,0.2173168390277959,0.2422328402495963,0.2665924859274774,0.2901557795522974,0.3079046122965484,0.3186499105467557,0.3222825849805821,0.3234062050006545,0.3236680193742636,0.3236680193742636,0.3236680193742636,0.3236680193742636
log4j2-2.5,0.0231996847601221,0.0471677667224903,0.0712540636390503,0.0956556004334548,0.1198601123042064,0.1441434341444192,0.1688306570781204,0.1935474337503694,0.2183528716382622,0.2433750369421732,0.2672741601812629,0.2898630676780612,0.3071618559747808,0.3178307555905822,0.3218402127869175,0.3229731060979214,0.3232489409910353,0.3232489409910353,0.3232489409910353,0.3232489409910353
