NGram,NGram-C,TMI-LR,TMI-MNB,TMI-SVM,TMI-DT,TMI-RF,LineDP,Glance-MD,Glance-EA,Glance-LR
0.728,0.468,0.519,0.589,0.468,0.392,0.633,0.766,0.842,0.544,0.842
0.721,0.468,0.403,0.584,0.448,0.468,0.565,0.818,0.87,0.539,0.922
0.738,0.477,0.423,0.577,0.477,0.342,0.651,0.832,0.866,0.57,0.879
0.759,0.506,0.194,0.6,0.247,0.518,0.659,0.8,0.859,0.676,0.841
0.765,0.55,0.201,0.631,0.262,0.49,0.685,0.819,0.866,0.711,0.893
0.782,0.621,0.25,0.653,0.258,0.508,0.661,0.831,0.879,0.742,0.919
0.783,0.626,0.348,0.704,0.261,0.513,0.73,0.835,0.878,0.739,0.887
0.691,0.346,0.303,0.702,0.239,0.41,0.537,0.718,0.926,0.75,0.771
0.764,0.408,0.201,0.718,0.19,0.563,0.58,0.805,0.96,0.753,0.879
0.777,0.397,0.136,0.712,0.098,0.63,0.679,0.87,0.962,0.712,0.929
0.735,0.392,0.309,0.713,0.188,0.414,0.63,0.779,0.95,0.724,0.901
0.774,0.411,0.214,0.714,0.143,0.351,0.661,0.863,0.952,0.714,0.923
0.819,0.476,0.291,0.767,0.207,0.419,0.639,0.824,0.912,0.577,0.855
0.822,0.47,0.247,0.721,0.205,0.589,0.717,0.84,0.9,0.58,0.872
0.827,0.46,0.243,0.733,0.183,0.535,0.718,0.827,0.926,0.609,0.896
0.854,0.505,0.222,0.758,0.162,0.424,0.646,0.859,0.934,0.636,0.909
0.852,0.444,0.16,0.763,0.118,0.556,0.728,0.87,0.899,0.574,0.858
0.825,0.399,0.217,0.79,0.168,0.538,0.783,0.909,0.902,0.622,0.902
0.812,0.427,0.214,0.795,0.171,0.504,0.556,0.863,0.906,0.615,0.846
0.833,0.472,0.269,0.861,0.204,0.565,0.787,0.917,0.926,0.62,0.935
0.851,0.468,0.202,0.883,0.202,0.404,0.755,0.904,0.936,0.628,0.947
0.75,0.562,0.562,0.725,0.463,0.388,0.575,0.713,0.912,0.688,0.812
0.75,0.55,0.367,0.733,0.267,0.55,0.65,0.817,0.917,0.7,0.95
0.725,0.575,0.3,0.725,0.225,0.325,0.425,0.8,0.925,0.725,0.95
