,Glance-MD-50-5,Glance-MD-50-10,Glance-MD-50-15,Glance-MD-50-20,Glance-MD-50-25,Glance-MD-50-30,Glance-MD-50-35,Glance-MD-50-40,Glance-MD-50-45,Glance-MD-50-50,Glance-MD-50-55,Glance-MD-50-60,Glance-MD-50-65,Glance-MD-50-70,Glance-MD-50-75,Glance-MD-50-80,Glance-MD-50-85,Glance-MD-50-90,Glance-MD-50-95,Glance-MD-50-100
calcite-1.16.0,0.0400133082741362,0.0813609833965122,0.1221848221965023,0.1629378723042781,0.2038962096194753,0.2453359100417299,0.2874976551245704,0.3304947067755396,0.3735059161649518,0.4173064194725535,0.4597017672397011,0.502157285395231,0.5414662461818349,0.5721602231259578,0.5904555606287452,0.5965787825052826,0.5973574581196399,0.5975238115463436,0.5975910608039472,0.5975910608039472
calcite-1.17.0,0.0406569031315872,0.0828327569816623,0.1246986208891889,0.1666299271179201,0.2084165713734621,0.2504580962484328,0.2928681647217668,0.3358086604301282,0.3789420387694088,0.4227126186572613,0.4651571304575451,0.5073536503037901,0.5464778253861097,0.5770944987118196,0.5958592232340906,0.6022794593775402,0.6030992105589463,0.6032783158590854,0.6033472025129851,0.6033472025129851
calcite-1.18.0,0.0410638114381621,0.083557227297152,0.1258449924041899,0.1679602762353971,0.2100821939618285,0.2522770845357268,0.2947671834471046,0.3379836938855388,0.3811172806336697,0.424851234899596,0.4672517762254463,0.5096058802847268,0.5485435283035139,0.5796797155385728,0.5985100271326315,0.604855347914635,0.6057409729270736,0.6059200880981286,0.6060096456836561,0.6060129626312682
cassandra-0.8.6,0.0420336767406393,0.0851644931370413,0.1287543963397553,0.1723909863363316,0.2159108593482523,0.2593451399047589,0.3030361978275078,0.3472874972766037,0.3910563665224563,0.4353543527654144,0.478080550281677,0.5151265212113667,0.5397927106352517,0.5456752466618943,0.5463833297021382,0.5463833297021382,0.5463833297021382,0.5463833297021382,0.5463833297021382,0.5463833297021382
cassandra-1.0.9,0.0423647527497532,0.0858987194656622,0.1295727118062605,0.1733937310527826,0.2169767067373329,0.2603146375786769,0.3037645889197723,0.3475576030413566,0.3911965889757826,0.4353886761277313,0.4776414083777331,0.5137890233912806,0.5378944346815467,0.5438455237308427,0.5443846223858966,0.5443846223858966,0.5443846223858966,0.5443846223858966,0.5443846223858966,0.5443846223858966
cassandra-1.1.6,0.0422953088797279,0.0859266391839436,0.1295760238317335,0.1733878975716908,0.2170252459904312,0.2606144494929738,0.3042156892245659,0.3481659795985917,0.3919959076821231,0.4360184154304456,0.477982728011314,0.5139229079529384,0.5375319712334126,0.541618270995697,0.542177955646496,0.5423645171967623,0.5425510787470286,0.5427376402972949,0.5428760569313634,0.5428760569313634
cassandra-1.1.11,0.0427480194481039,0.0866893915673683,0.1306780251785598,0.1748379816979872,0.2187734461307607,0.2625434953417892,0.306408067536672,0.3504498703262815,0.3943735193860732,0.4386339065758458,0.4808266034938058,0.5170111832505273,0.5410672826414448,0.5451199555741976,0.5456693704178507,0.5458525086990683,0.5460356469802861,0.5462187852615037,0.5463546620507943,0.5463546620507943
cassandra-1.2.11,0.043024148090605,0.0871377549570374,0.1312087308278939,0.1753507583580435,0.2194927858881931,0.2635021836543289,0.3074500033157441,0.3516583457279005,0.3955872182801709,0.4400797673294997,0.4826539215779152,0.5186486921757912,0.5419204789829192,0.5460841062174938,0.5466193620508351,0.5467756757012798,0.5469272525744384,0.547078829447597,0.5472114592116107,0.5472114592116107
flink-1.6.0,0.0393522787144362,0.0803592597471022,0.1212131190727081,0.1623880400421496,0.203388435194942,0.2440825869336143,0.2849759615384615,0.3262167413066386,0.366996509483667,0.408691714963119,0.4488128951527924,0.4875773840885142,0.5168153977871444,0.529679267650158,0.5331714304531086,0.5343190200210748,0.5348211933614331,0.5349117492096944,0.534947971548999,0.534947971548999
groovy-1.5.5,0.0416678156798941,0.0849442498782045,0.1280919945950417,0.1717361130261331,0.2148746656371508,0.2581510998354613,0.3014459182454108,0.3447223524437213,0.3872358418590115,0.4304479313165853,0.4718399838218937,0.5107961282850288,0.5398156063572603,0.5529603176791771,0.5571978784619769,0.5584296206417928,0.559119028578257,0.5596154022925112,0.5598360128321798,0.5598360128321798
groovy-1.6.0,0.0415052925974439,0.0846673983077849,0.1278436648139625,0.1711402980847523,0.2143307253867667,0.2574574291075158,0.3008744291429178,0.344277268382483,0.3869791482281304,0.4301200127447162,0.4717810740963642,0.5110348001557687,0.5404609339044855,0.5550536340142316,0.5597550182320247,0.5611427762240238,0.5619782631783906,0.5626579813785535,0.5631252876411654,0.5633660211703898
groovy-1.7.3,0.0419813444837568,0.0853715020907044,0.1286072692183982,0.1719266645223544,0.2151495657767771,0.2582502412351238,0.3018076551945963,0.3453264715342554,0.388201994210357,0.4315213895143133,0.4733869411386298,0.5136571244773239,0.5450691540688324,0.5626503698938565,0.5682405918301705,0.5694757156642007,0.5702605339337408,0.5708845287873915,0.5713091026053393,0.5715020907044066
groovy-1.7.6,0.0421829336800712,0.0856156385510228,0.129042031446263,0.172600975831445,0.2161220483623579,0.2593464580348295,0.3028612185900308,0.3464138509995013,0.3893794696678007,0.4328374224415984,0.4747173812875168,0.5150824659626709,0.5468190798401807,0.5643853082453338,0.5699966546528729,0.5711833060866381,0.5719344311963087,0.572546692840326,0.5729632832372861,0.5731526425086316
groovy-1.8.1,0.0409176550089051,0.0836220571644551,0.1263608198420561,0.1693171991593125,0.2123365727669955,0.254937893356393,0.2978026446148472,0.3410510883695359,0.38371540324936,0.4269810272650742,0.4687233348032001,0.5090282271688648,0.5409262451394178,0.5606549115502895,0.567704545324392,0.569336670121808,0.5700754213459016,0.5706251896987155,0.5710088821949502,0.5711749580515293
groovy-1.8.7,0.0417260607649413,0.0853090404644481,0.1287773281121142,0.172442230705793,0.2161999792462001,0.2594224982113501,0.3027815553334534,0.346271689086232,0.3892921315790911,0.4328805728048761,0.4748141715683865,0.515442465551423,0.5479549314851528,0.5678895024003408,0.5751806399816493,0.5768409439702019,0.5775345578075249,0.5780588643302257,0.5784247865908607,0.5785831708529265
groovy-2.1.0,0.0419266838010764,0.0854517021769908,0.1288829910562327,0.1725560033742618,0.2162191494294833,0.2596701708343405,0.3027709399095263,0.3463896877821134,0.3894559249374725,0.4330500071530405,0.4752578794441348,0.5162423351470813,0.5497284311162196,0.5709211636270355,0.5793222864077431,0.5809798185594269,0.5813695359403288,0.581640858167539,0.5817592533212307,0.5817592533212307
groovy-2.1.6,0.0421313567163742,0.0858308901594475,0.1294184109791851,0.1732835283002328,0.2169489709448995,0.2602881159476755,0.3038658965392969,0.3475069886136733,0.3906708095103587,0.434302161356619,0.4763555962480641,0.517366826731082,0.5511167171535157,0.5724672971841,0.5810435680403635,0.582782198759095,0.5831669377696825,0.5834347940428765,0.5835516767802702,0.5835516767802702
groovy-2.4.4,0.0420630925759363,0.0855124724599173,0.1288999645176463,0.1725473854456336,0.2160091428948649,0.2593182437060081,0.3028006304306567,0.3464067928078094,0.3894930974444454,0.4332189096190185,0.4756822101380511,0.5176627856123182,0.5533720613597168,0.5764397171313754,0.5863293917664436,0.5884418295691782,0.5887884013961894,0.5890235751359469,0.589139099078284,0.589139099078284
groovy-2.4.6,0.0421644961233946,0.08566702648569,0.1290956776568804,0.1728198455924905,0.2163470023518209,0.259685356733883,0.3032125134932134,0.3468340714411778,0.3899918322449834,0.4336421209894886,0.4761144470758205,0.5181927508095928,0.5540364716940088,0.577201702504915,0.5870768877159427,0.589198862260457,0.5895518406179584,0.5897857913897907,0.5899007145759539,0.5899007145759539
groovy-2.4.8,0.0424254544564072,0.0861120407480266,0.1296394550604445,0.1734158306736647,0.2170697663028838,0.2604869846297006,0.3040062362765184,0.3477336358961382,0.3909263809189529,0.4347150005305732,0.4772139189773812,0.519272053481785,0.5551428874613293,0.5783575084279522,0.5884832951048494,0.5906015068280698,0.5909402574504731,0.5911688120872752,0.5912830894056763,0.5912830894056763
groovy-2.5.0,0.0422373646827959,0.0857336618341455,0.1291758501401419,0.172913833467403,0.2165472063603144,0.2599461075900281,0.3034063321778089,0.3471948170940664,0.3906081473492077,0.4346311039286629,0.4775285965247692,0.5198489281037736,0.5562281084629841,0.580634804973685,0.5914241087371356,0.5947860716617548,0.5961856871282272,0.5974374050840671,0.5981011402537344,0.5981011402537344
groovy-2.5.5,0.0423861006081343,0.085979843869057,0.1294729502422473,0.1732571847549491,0.2169587532527279,0.2603548169127478,0.3039521543482323,0.3477256063372486,0.3912366835832482,0.4352761044898429,0.4781186652673347,0.5205299250974021,0.5569137541872133,0.5814332130482913,0.5922373017812729,0.5955906666474977,0.5969852063775033,0.5982323849504723,0.5988937130698564,0.5988937130698564
hbase-0.94.5,0.0438002546778109,0.0886574583443056,0.1325370743796286,0.1774664247347707,0.2223308430701301,0.26684534996555,0.3113670715298344,0.3567365166857254,0.4018426264280535,0.447374401633401,0.492361469339461,0.5375325111015717,0.5773322318938866,0.6031174584164524,0.6151515260828316,0.6162589777535685,0.6163311244422159,0.6163311244422159,0.6163311244422159,0.6163311244422159
hbase-0.98.0,0.0450286929578497,0.0909374255174816,0.1363394686094207,0.1822732022941032,0.2280352615867714,0.2737073168292573,0.3195510464637575,0.3659314669160112,0.4121702143263113,0.4586406388287473,0.5047543806137943,0.5510347965658454,0.5941300691864467,0.6268782095194284,0.6353169225948501,0.6362952999551647,0.636346968946936,0.636346968946936,0.636346968946936,0.636346968946936
