,Glance-LR-5,Glance-LR-10,Glance-LR-15,Glance-LR-20,Glance-LR-25,Glance-LR-30,Glance-LR-35,Glance-LR-40,Glance-LR-45,Glance-LR-50
amq-5.6.0,0.0126363215431549,0.0257882102594583,0.0389236796390373,0.0521346779675488,0.0652734312144726,0.0784187521960862,0.0914852603614224,0.1047783553735563,0.1179762182326882,0.1314039518059628
amq-5.7.0,0.0097880031358347,0.0198482597100992,0.0298855551510022,0.0400114149634426,0.0501175938044301,0.0601450487596067,0.0701856243624185,0.0803049238510413,0.090440624149208,0.1006681689808209
amq-5.8.0,0.0038299414570755,0.0078786434236346,0.0119469358835802,0.0159662521100593,0.0200671953923159,0.0240473306320219,0.0280829722696566,0.032245952114304,0.0363436303143294,0.0405915022969853
amq-5.9.0,0.0156914782261415,0.0323040900263135,0.0489424678005842,0.0656291567762901,0.0825090905577367,0.0991667928125815,0.1161336867566113,0.1335096155394589,0.1508404538676337,0.1686640664504472
amq-5.10.0,0.0148828660416594,0.0306125969581868,0.0463799663135972,0.0622382952296415,0.0782001298526141,0.0940459126223641,0.1101708471471631,0.1266658929876452,0.1431264369258177,0.1599163172042167
amq-5.11.0,0.0145631067961165,0.0297208737864077,0.0450424757281553,0.0603489077669902,0.0758252427184466,0.0911377427184466,0.1067384708737864,0.1226668689320388,0.1385618932038834,0.1547754854368932
amq-5.12.0,0.0131239422569605,0.0267610790925105,0.0405193067836827,0.0543121318621755,0.0681626192528694,0.0819352625220918,0.0960711783581809,0.1102416915815907,0.1245159969669623,0.1390123022543081
amq-5.14.0,0.0121026649215512,0.0247131149766744,0.0373480038884936,0.0500480630848354,0.0628160079942215,0.0755187826190851,0.0884632303823866,0.1013778084319486,0.1143385487663808,0.127551823953338
amq-5.15.0,0.0098082134387564,0.0199387120945584,0.0300477250692241,0.0401916522757364,0.0503409509025328,0.0604929352394713,0.0706664052575461,0.0809097037393142,0.0911798593225027,0.1015950432533618
bookkeeper-4.2.0,0.0466571944241772,0.0949912317755334,0.1433636701099548,0.1919409136873903,0.2405821589032679,0.2888521946161821,0.3372246329506035,0.3862754886525095,0.4348143312468799,0.4841723948133072
bookkeeper-4.4.0,0.0246583133981297,0.0499021362731485,0.0755307225186944,0.1005403416029576,0.1253826722652525,0.1505428509292871,0.1761881660170299,0.20190039647356,0.2276126269300901,0.2534921458085886
calcite-1.8.0,0.0282703567778799,0.0570291862430665,0.0854923611869886,0.1141130042998451,0.1432156928278069,0.1728100676791762,0.2033299697275479,0.2346468535288938,0.2661661964045839,0.2985435801191616
calcite-1.11.0,0.0298958744979827,0.0605698566015078,0.0907720726764757,0.1212101717657222,0.1521506710412243,0.1834802241194977,0.2154530945094399,0.2483633701249567,0.2815309726651411,0.315204038807351
calcite-1.13.0,0.0364084873479928,0.0736610842375069,0.1103663589585461,0.1471602844533523,0.1844437163946115,0.2220393532347896,0.2606949449787045,0.3003295496155254,0.3401761452330937,0.3809285204956734
calcite-1.15.0,0.0357574503761936,0.0727271407468704,0.1090870816592444,0.1454905761043542,0.182093690907837,0.2193428497802361,0.2572525705657967,0.2962946832024912,0.3353767199108604,0.3750975417660231
calcite-1.16.0,0.0338900863975988,0.0688172271361372,0.1031603611639076,0.1375778233185031,0.1721439417267485,0.2074321047955799,0.2434352336557758,0.2802878268225434,0.3171404199893109,0.3547115183820536
