,Glance-LR-5,Glance-LR-10,Glance-LR-15,Glance-LR-20,Glance-LR-25,Glance-LR-30,Glance-LR-35,Glance-LR-40,Glance-LR-45,Glance-LR-50,Glance-LR-55,Glance-LR-60,Glance-LR-65,Glance-LR-70,Glance-LR-75,Glance-LR-80,Glance-LR-85,Glance-LR-90,Glance-LR-95,Glance-LR-100
amq-5.6.0,0.0609873369918604,0.07208448975053,0.0792221389055959,0.0876341233310437,0.0971733373601044,0.1049439772629327,0.1143460370254953,0.1175535692814837,0.1200668375542268,0.1205410697366339,0.1203247976102209,0.1188222458986874,0.118788276840337,0.1208607706227389,0.1217573015061996,0.1219695025644105,0.1219695025644105,0.1219695025644105,0.1219695025644105,0.1219695025644105
amq-5.7.0,0.0535964950753,0.070494633007456,0.0807080040086968,0.0883925136331844,0.0955182534849529,0.1043798013704273,0.1132202421969158,0.119374472192651,0.11993099487364,0.1223177561643468,0.1217046828786268,0.1204584616841548,0.1217421859637636,0.1224503676153573,0.123102526513575,0.1230643323565206,0.1230643323565206,0.1230643323565206,0.1230643323565206,0.1230643323565206
amq-5.8.0,0.0435802404694611,0.0556846861734023,0.0633576245829309,0.0734433512376248,0.0788013941247123,0.0884959329129751,0.0940855551651382,0.0958543938631538,0.0994958679260823,0.099840570788236,0.0985164053621201,0.1007230043730871,0.1035664280249975,0.104982526773235,0.1058218644117486,0.1058172688894546,0.1058172688894546,0.1058172688894546,0.1058172688894546,0.1058172688894546
amq-5.9.0,0.1055486576392443,0.1326347376270907,0.1551630860414641,0.1750254730469783,0.188543085019388,0.204194460988533,0.2134254040502249,0.2156091568933407,0.2169687785060639,0.2147116259096421,0.2140282613262353,0.2141225860314535,0.2151304904049438,0.2170557875056266,0.2176992774580409,0.2177841551377738,0.2177841551377738,0.2177841551377738,0.2177841551377738,0.2177841551377738
amq-5.10.0,0.1088627871592977,0.1363750545527824,0.1582421992300246,0.1771275124123769,0.1916501451664597,0.2059326976794066,0.2136239807482459,0.2147439086156259,0.2147576916100437,0.2135043473718847,0.2130441357760928,0.2110433701925779,0.2111905259974143,0.2124735575460243,0.212897761143388,0.213056882139044,0.213056882139044,0.213056882139044,0.213056882139044,0.213056882139044
amq-5.11.0,0.0947809778572338,0.1244473106255239,0.1414833142751936,0.1600162821360097,0.1717648562644858,0.1847298893562986,0.1907109133340553,0.189634915001766,0.1883249827119892,0.1854302251786178,0.182446909095334,0.1808429597892352,0.1814455875843435,0.181480259055445,0.1810666103582245,0.1811664442789602,0.1811664442789602,0.1811664442789602,0.1811664442789602,0.1811664442789602
amq-5.12.0,0.0953799112155708,0.1235952673382565,0.1404455721898521,0.1584611622882085,0.1715481167730529,0.1832338258753779,0.1858164564251063,0.1889052610666956,0.1858231957791301,0.1834036185345321,0.179441192342849,0.1774937106190638,0.1776620050794366,0.1788717033368781,0.1791444451472154,0.1792200726359318,0.1792064521617145,0.1792064521617145,0.1792064521617145,0.1792064521617145
amq-5.14.0,0.093662848129086,0.1142424875672367,0.1319782260460982,0.1460494977039169,0.1545324852860164,0.162911025580348,0.1644545882299654,0.1678173933235358,0.16774991686822,0.164171044124399,0.16279472075887,0.161160258642875,0.159498242943291,0.1588623881480843,0.1592872350387986,0.1592615788178128,0.1592495085013404,0.1592495085013404,0.1592495085013404,0.1592495085013404
amq-5.15.0,0.0699238604639221,0.0808941032309858,0.0955703115487861,0.1075530317440947,0.1161133285458986,0.1204172032113936,0.1272957981442605,0.1297686233020165,0.128540924646512,0.1248085464970377,0.121412161204457,0.1186068895525097,0.1189342760417639,0.1190181727821532,0.1189921653801476,0.1189674918178776,0.118956529650477,0.118956529650477,0.118956529650477,0.118956529650477
bookkeeper-4.2.0,0.0188786236269334,0.0316181975679752,0.0390638452985756,0.0429973783944578,0.0492342828203222,0.0530159861847956,0.0531233587505939,0.0524952986730701,0.0525440905377636,0.0582122466194792,0.0573704227484395,0.0546350681022968,0.0577295438761498,0.0584593630318027,0.0590342542038355,0.0587598470023777,0.0587407548261002,0.0587407548261002,0.0587407548261002,0.0587407548261002
bookkeeper-4.4.0,0.0374170379616866,0.0458094990418745,0.040183673812298,0.0571823701347442,0.077100267205679,0.082228568665015,0.0772228587352873,0.0732857424303613,0.06937820249073,0.0649610349308732,0.0594231299367583,0.0559666297117466,0.0520227334181776,0.0507786658381951,0.0504966069275293,0.0507183000066379,0.0507183000066379,0.0507183000066379,0.0507183000066379,0.0507183000066379
calcite-1.8.0,0.0738912172718263,0.1164467892743233,0.1526064320996918,0.1841595853854802,0.2057876976966976,0.2195097160260435,0.2245435359786643,0.2258259622928158,0.2232029030169895,0.2196359580912693,0.2209086433723675,0.2219889514935772,0.2258172898066543,0.2310157934106655,0.2365571423128853,0.2380152515968794,0.2381833859138277,0.238045470740833,0.2378828639945124,0.2377902173350841
calcite-1.11.0,0.0716947792206566,0.1079917256807512,0.1421065706806102,0.171354628064526,0.190491127437073,0.2025109729452187,0.2090483040573255,0.2096973468845104,0.2053863297638528,0.2037952765964424,0.2032819503688689,0.2041885436532493,0.2071641970715134,0.2131446636373832,0.2176210663964568,0.2198302396071329,0.2198047374681816,0.2196638888115108,0.2195220880439396,0.2194420393947271
calcite-1.13.0,0.056394633699285,0.0876215191263457,0.1181395222938564,0.1464362463142114,0.1663553367895089,0.1791542107631478,0.1837019178830669,0.1837499639998959,0.1793600744091233,0.1754885801021639,0.1759773077298255,0.1773031940035858,0.1789652648941855,0.1850146486675611,0.1905599123914549,0.1943886119813084,0.1944615234023107,0.1944445224340266,0.194419105105798,0.194419105105798
