,Glance-LR-5,Glance-LR-10,Glance-LR-15,Glance-LR-20,Glance-LR-25,Glance-LR-30,Glance-LR-35,Glance-LR-40,Glance-LR-45,Glance-LR-50,Glance-LR-55,Glance-LR-60,Glance-LR-65,Glance-LR-70,Glance-LR-75,Glance-LR-80,Glance-LR-85,Glance-LR-90,Glance-LR-95,Glance-LR-100
amq-5.9.0,0.0135628451634351,0.0121712656866967,0.0107703027744835,0.0093394116341409,0.0080472177728254,0.0066131787653742,0.0053929261335836,0.0044848027352856,0.003635470400393,0.0029896520956534,0.0023048385823664,0.0016046381299111,0.0009687257562012,0.0005631703176114,0.0004727701010235,0.0004645124899943,0.0004645124899943,0.0004645124899943,0.0004645124899943,0.0004645124899943
amq-5.10.0,0.0115749191203313,0.0102889751373784,0.0090252766415149,0.0077526583387539,0.0065477236772719,0.0052999882911239,0.0042644596771646,0.0035001449446526,0.0028106190297159,0.0021942651074593,0.0015774909151728,0.0010743096493949,0.0005563337213202,0.0002189490445859,0.0001475232050014,0.000135572134344,0.000135572134344,0.000135572134344,0.000135572134344,0.000135572134344
amq-5.11.0,0.0101634997790543,0.0090326259067485,0.0080520880277584,0.0069705626789533,0.0060237425519001,0.0050022088106634,0.0041940208145194,0.0036625871716419,0.0031702787247264,0.0027670488511198,0.0024118894106743,0.0020194882475453,0.0015917004729732,0.0013843707215126,0.0013676127898536,0.0013600868010452,0.0013600868010452,0.0013600868010452,0.0013600868010452,0.0013600868010452
amq-5.12.0,0.0080332225335949,0.007100438556499,0.006282528658065,0.005388342743476,0.0045643958643247,0.003748130627671,0.0031857360417388,0.0026145776439068,0.0022769687729996,0.0019350957521473,0.0016893384727292,0.0013895706157664,0.0010593368971952,0.0008343320570881,0.0007929624581836,0.0007860076476419,0.0007860299116247,0.0007860299116247,0.0007860299116247,0.0007860299116247
amq-5.14.0,0.0051300983086536,0.0045150418244205,0.0038999719022197,0.0033077300026211,0.0027997526740671,0.0022858147610883,0.0019236772860392,0.0015236681480945,0.0012218350185878,0.0010322580645161,0.0007986413626778,0.0005865516213504,0.0004190611082054,0.0003239412193932,0.0002915337294698,0.0002915499647846,0.0002915576055585,0.0002915576055585,0.0002915576055585,0.0002915576055585
amq-5.15.0,0.0023892502678774,0.0021465564858819,0.0018655272670992,0.0015896296917124,0.0013387145516012,0.0011364447553645,0.0008950767889264,0.0007154120189219,0.0005995380898657,0.0005348200733808,0.0004775433718188,0.0004188987549228,0.0003151523390791,0.0002610325078698,0.0002550028765568,0.0002550171514584,0.0002550234963721,0.0002550234963721,0.0002550234963721,0.0002550234963721
bookkeeper-4.2.0,0.0071585682863427,0.0066316351476662,0.0061334204585956,0.0057016853047724,0.0051146177452081,0.0045867450235608,0.0042309319589214,0.0039057630780737,0.0035206499661475,0.0026235026235026,0.0022102764209894,0.0019468272799172,0.0010555706891855,0.0004162567168697,0.0,0.0,0.0,0.0,0.0,0.0
bookkeeper-4.4.0,0.009833225773581,0.0093666602710575,0.0092687212033202,0.008482859092334,0.0074420017465922,0.0068844122824173,0.0067767894959762,0.0066627800449737,0.0065839017148266,0.0065673768338564,0.0066612884637547,0.0066614139388295,0.0067276774672273,0.0066412935196301,0.0065954530170964,0.0065745198529792,0.0065745198529792,0.0065745198529792,0.0065745198529792,0.0065745198529792
calcite-1.8.0,0.0462647258275639,0.0425774201652978,0.0384003243955598,0.033873059264711,0.0296906105900635,0.0259666543051971,0.0230077125888208,0.0204177326609685,0.0183603372008546,0.0164248377793799,0.01381752173317,0.0111367986675615,0.0080409776575692,0.0050461658927037,0.0027357265833505,0.0020495025043236,0.0019346384644369,0.0019247761462829,0.0019259359372888,0.0019265977523026
calcite-1.11.0,0.0411227687695871,0.0379262745098039,0.034127482597815,0.0300388841927303,0.0263357865555915,0.0230368296044336,0.020140339600407,0.017829336343585,0.0161835647468434,0.0141565600882028,0.0120031748536735,0.0095433123328205,0.0067756695621636,0.0037724851448278,0.0017511193864432,0.0009225350143971,0.0008402937667008,0.0008352954367081,0.000835801471908,0.0008360875591293
