,Glance-LR-5,Glance-LR-10,Glance-LR-15,Glance-LR-20,Glance-LR-25,Glance-LR-30,Glance-LR-35,Glance-LR-40,Glance-LR-45,Glance-LR-50
ww-2.0.10,1,2,73,19,2,13,88,6,1,28
ww-2.1.1,1,36,11,107,9,5,12,65,1,92
ww-2.1.3,2,9,24,2,29,2,35,233,2,44
ww-2.1.7,1,11,25,17,6,174,56,2,3,6
ww-2.2.0,1,11,1,3,61,3,2,3,2,460
ww-2.2.2,2,1,5,133,4,10,1,7,7,4
ww-2.3.1,31,9,4,9,6,105,15,1,10,2
ww-2.3.4,14,12,87,2,5,5,98,9,29,15
ww-2.3.10,36,1,7,3,1,185,7,3,268,1
ww-2.3.15,81,51,43,7,148,76,43,7,42,1
ww-2.3.17,86,2,2,5,79,52,176,280,20,486
ww-2.3.20,2,46,2,4,6,52,885,4,2,25
ww-2.3.24,2,2,2,4,20,64,353,39,2,2
zookeeper-3.5.1,107,8,55,1,61,45,61,116,48,2
zookeeper-3.5.2,77,28,73,24,91,65,103,48,102,37
zookeeper-3.5.3,89,25,66,221,36,417,53,140,207,143
