,Glance-MD-50-5,Glance-MD-50-10,Glance-MD-50-15,Glance-MD-50-20,Glance-MD-50-25,Glance-MD-50-30,Glance-MD-50-35,Glance-MD-50-40,Glance-MD-50-45,Glance-MD-50-50,Glance-MD-50-55,Glance-MD-50-60,Glance-MD-50-65,Glance-MD-50-70,Glance-MD-50-75,Glance-MD-50-80,Glance-MD-50-85,Glance-MD-50-90,Glance-MD-50-95,Glance-MD-50-100
amq-5.8.0,0.0159793917500349,0.0148176964838363,0.0136888444076991,0.0125824096623195,0.0114866181693798,0.0100064341998612,0.0087393123842129,0.0076592895044016,0.00679434182585,0.006047921780911,0.0053668758429283,0.0042535917257933,0.0029168662417253,0.0023173297327848,0.002166251942048,0.0021623808951751,0.0021625996724483,0.0021626133474978,0.0021626133474978,0.0021626133474978
amq-5.9.0,0.0139076424520658,0.0128162016003952,0.0117032362957896,0.0106123243761421,0.0095844764450305,0.0083282509436761,0.0072616537830873,0.006442035426613,0.0056519102486355,0.0050836872990395,0.0043607358467825,0.0035415715796102,0.0027105168052041,0.0021599069578541,0.0020352361863756,0.0020251690737483,0.0020253697693432,0.0020253823141386,0.0020253823141386,0.0020253823141386
amq-5.10.0,0.0118872734169321,0.0108739711434419,0.0098708364511143,0.0088648008162638,0.0078590733960781,0.0067517785320014,0.0058290127983924,0.0051059712990665,0.0044543746797973,0.0038721337627851,0.0032167097348358,0.0026480173818576,0.0019606222022747,0.0014857764087697,0.0013846041732455,0.0013678393609454,0.0013679807388311,0.0013679890560875,0.0013679890560875,0.0013679890560875
amq-5.11.0,0.0103361266004174,0.0093696735548593,0.0085131475939852,0.0075576036866359,0.0066483826852182,0.0056870077049781,0.0048830613670927,0.0043082669214566,0.0037493846868688,0.0033150523944765,0.0029028482247366,0.0023678976804491,0.0016869792742546,0.0013444490107438,0.0013225482671075,0.0013121187763014,0.0013122583848581,0.0013122661417602,0.0013122661417602,0.0013122661417602
amq-5.12.0,0.0082828510570128,0.007570067169277,0.0069260298719313,0.0062070943039789,0.0055155832906111,0.0047925754060324,0.0043304424633495,0.0037935233534911,0.0035186488388458,0.0032364265386976,0.0030514600594491,0.0027201242294284,0.0022948002653702,0.001985451147891,0.0019289584183659,0.0019197940279293,0.0019199874613063,0.001919998208748,0.001919998208748,0.001919998208748
amq-5.14.0,0.0052913760099998,0.0048294790936697,0.0043599204185036,0.0038991074102154,0.0034981491186199,0.003048545458368,0.0027588648820105,0.0023834467287972,0.0021190895335941,0.0019642230796211,0.0017363616473556,0.0015131268668448,0.0013125714607997,0.0011905573591654,0.0011490314929503,0.0011499588546831,0.0011500680544857,0.0011500741217495,0.0011500741217495,0.0011500741217495
amq-5.15.0,0.0024472655978419,0.0022512929723151,0.001998530581146,0.0017324502473799,0.0014808434513259,0.0012625164770573,0.0010104671213768,0.0008041537634782,0.0006753686899075,0.0006094800264688,0.0005454831223823,0.00044894035437,0.0002801477142493,0.0001928077498293,0.0001833074957053,0.0001834525775087,0.0001834698873494,0.000183470849103,0.000183470849103,0.000183470849103
bookkeeper-4.2.0,0.007128728643683,0.006609063460923,0.0060950654817586,0.0056351039260969,0.0050421261507433,0.0044970536545022,0.0041217095019143,0.0037759474106391,0.0033984350416413,0.0025354280798659,0.0021350217183243,0.0018745648331637,0.0010848849142354,0.0005426628786669,0.000201640005377,0.0002025589953073,0.0002026000337666,0.0002026000337666,0.0002026000337666,0.0002026000337666
bookkeeper-4.4.0,0.0096523092890503,0.0090833272898687,0.0090100386688763,0.0082858518577963,0.0071634452356731,0.0066012528908547,0.0065888419394113,0.0066020902370634,0.0066708587363643,0.0068141592920353,0.0070339226907951,0.0072461243685769,0.0075353935149946,0.0075557390586292,0.0075867981140162,0.0075630613209574,0.0075630613209574,0.0075630613209574,0.0075630613209574,0.0075630613209574
calcite-1.8.0,0.0469900915461915,0.0441952860148199,0.0409716867194129,0.0372683947977908,0.033700944332631,0.0304448382292992,0.0279311062223068,0.0258407347645658,0.0243082190736968,0.0229344956112663,0.0207608540246866,0.018575388098739,0.0156959757736026,0.0125018082700756,0.0096576360130243,0.0087861086660798,0.0086406084528737,0.008634052703864,0.0086414790996784,0.0086457185597439
calcite-1.11.0,0.0417997470579408,0.039473515166309,0.0365948769198045,0.0333040287303751,0.030246016993159,0.0274907233770897,0.0250339731612026,0.0232113586727025,0.0221099794745284,0.0206045403764676,0.0189929177011704,0.0170563566022287,0.014639747392594,0.0114843652351648,0.0090003361755447,0.0079005460671546,0.0078075838441279,0.0078081861521351,0.0078147499513524,0.0078184621614465
calcite-1.13.0,0.0481975131260174,0.0456981393357,0.0425615929092016,0.0387596213785816,0.0350936125146378,0.0316943990601754,0.0290444471230694,0.0269440997954461,0.0255204594400574,0.0240941340224122,0.0218893688170544,0.0194736802224697,0.0169146436961628,0.0134543844109831,0.0105483861989627,0.0089789611539802,0.0088939243733182,0.0088879233806222,0.0088893507278687,0.0088893507278687
calcite-1.15.0,0.0423173712320086,0.0402157176556254,0.0374299407681039,0.0340092165898617,0.0305532836711686,0.0276826644213677,0.0252501924557351,0.0235798840073091,0.0223724047216773,0.0208617057009374,0.0189687046084774,0.0165553400847518,0.0147342749720556,0.0114411089721496,0.0086670072401219,0.0078110320762313,0.0076943081848427,0.007671050978844,0.0076723588689776,0.0076723588689776
calcite-1.16.0,0.0408111300509962,0.0387223656383912,0.0360083024324261,0.0326728947497586,0.0293201218722757,0.0265576419991508,0.0243448506496968,0.0225556916303656,0.0211579936957363,0.0196336481545442,0.0175064844790855,0.0155241681481585,0.0136437697004766,0.0105835263687781,0.0082454080277018,0.0073072166385061,0.0070959745836679,0.0070728768271598,0.0070740504615599,0.0070740504615599
calcite-1.17.0,0.0278831622556427,0.0266295765586618,0.0250744253138139,0.023225019882361,0.0211093032566935,0.0193546061258792,0.0178299765583887,0.0163987941913073,0.015667392716573,0.0146504641469279,0.0132994440031771,0.0116912999315934,0.0102528638864668,0.0077580145947649,0.0059641304992417,0.0053492058022947,0.0052571606153208,0.0052423394479566,0.005234652362072,0.005234652362072
calcite-1.18.0,0.0231555472960416,0.0222521843449088,0.0211305533166685,0.0195277535656911,0.0178290833054947,0.0163501649416159,0.015023765623697,0.0140785235827619,0.0135191578680229,0.0126411452194263,0.0113567115395268,0.0103155583521882,0.0088334462091917,0.0071844934031151,0.0054721135833305,0.0048949588606273,0.0048225857767209,0.0048164311501637,0.0048175206943932,0.0048175610573499
cassandra-0.8.6,0.0188555945170545,0.0174660081396612,0.0166167520046372,0.0154585257935222,0.0141467900678967,0.0128186513451287,0.0115430879415562,0.0105335173455064,0.0092919625789626,0.0080107174103237,0.0070318282753515,0.0059026226788335,0.0048123843176846,0.0046708260884388,0.0046780830103634,0.0046780830103634,0.0046780830103634,0.0046780830103634,0.0046780830103634,0.0046780830103634
cassandra-1.0.9,0.0107831721763782,0.0101365438706889,0.0097965815505678,0.0092142695299715,0.0084842681986223,0.0075898476394446,0.0066923706974049,0.0057082497545986,0.0049320837195463,0.0040753822214538,0.0031931380932022,0.002284318655269,0.0020260973433932,0.0020066172415905,0.0020089867652245,0.0020089867652245,0.0020089867652245,0.0020089867652245,0.0020089867652245,0.0020089867652245
