,Glance-MD-50-5,Glance-MD-50-10,Glance-MD-50-15,Glance-MD-50-20,Glance-MD-50-25,Glance-MD-50-30,Glance-MD-50-35,Glance-MD-50-40,Glance-MD-50-45,Glance-MD-50-50,Glance-MD-50-55,Glance-MD-50-60,Glance-MD-50-65,Glance-MD-50-70,Glance-MD-50-75,Glance-MD-50-80,Glance-MD-50-85,Glance-MD-50-90,Glance-MD-50-95,Glance-MD-50-100
amq-5.6.0,0.6285686799264867,0.5656419317506043,0.5159634451635341,0.4665006208235115,0.4217342916665637,0.3817619187565494,0.3439202275503613,0.3244739120027128,0.3148006297475424,0.3184811736753446,0.3290206380678719,0.3414936817633391,0.348812135298673,0.3520554053148482,0.3528239901194092,0.3530161451218392,0.3530772474869352,0.3530817736102702,0.3530817736102702,0.3530817736102702
amq-5.7.0,0.6325655911434692,0.5661362066432131,0.5167433369132499,0.471647323264719,0.4306441348329938,0.3875922288485642,0.3531260265439574,0.3286828845708517,0.3277717036666973,0.3251344381307653,0.3351543731952466,0.3463871880123776,0.3522305575486534,0.3561063965636826,0.3567865144318501,0.3571929716564511,0.357231148784201,0.3572333945060758,0.3572333945060758,0.3572333945060758
amq-5.8.0,0.623784282364077,0.5569646390750513,0.4970248605284723,0.444021921442801,0.3983548316443101,0.3500387803490659,0.3187771621605906,0.3030173694515868,0.3009100658301502,0.3084712707539855,0.3205131268288811,0.3300104918260912,0.337919185358524,0.343686310242487,0.3452249787937238,0.345615758144808,0.345652391524667,0.3456546811130765,0.3456546811130765,0.3456546811130765
amq-5.9.0,0.6200374974024635,0.5503879513472821,0.48582580248166,0.4289032420825205,0.3819356193496667,0.3364554945920802,0.308017216424252,0.2966855574919876,0.2949025371415796,0.3045500231011588,0.315603984599745,0.3269242862112105,0.3365734674201671,0.3417127664876314,0.3431194551074196,0.3434887278591212,0.3435248093691037,0.3435270644659806,0.3435270644659806,0.3435270644659806
amq-5.10.0,0.6144892316805566,0.5414487787895057,0.475315873784335,0.4161806537606691,0.3654664445059397,0.321102447293842,0.2950906345741061,0.2860329155193093,0.2875782405869325,0.2980605870935953,0.3111263025627583,0.3255756586873859,0.3368237767102394,0.3428814358019654,0.3444869667253755,0.3448118161717675,0.3448492980061584,0.3448515028214526,0.3448515028214526,0.3448515028214526
amq-5.11.0,0.6155186655792829,0.5374875177913031,0.4723289390260134,0.4092582825641692,0.3575134917409732,0.3141987883210233,0.2893477847334806,0.2830949291533711,0.2857208410363679,0.2981296427112757,0.3134676572039598,0.3274339258275838,0.3382727841762348,0.3448033368475779,0.3467244610548775,0.3470551826917393,0.3470935266170921,0.3470956568369379,0.3470956568369379,0.3470956568369379
amq-5.12.0,0.6188329273417439,0.544885635428629,0.4820678032958659,0.4211717180771139,0.3704321440363676,0.3279046024128697,0.3089594335288556,0.2961220805101991,0.3008468622171404,0.3109886372589811,0.3256387879515933,0.3373673948577622,0.3459303995002959,0.3503033239304546,0.3515894241411947,0.3518636854779662,0.3518995163678079,0.3519015069780274,0.3519015069780274,0.3519015069780274
amq-5.14.0,0.6057180893750388,0.5327813867200465,0.4655532276366183,0.4065896743704423,0.361620476909746,0.3219147903979795,0.3046521351760905,0.2912347803107228,0.2930585826678438,0.3058398599317177,0.3186350987693807,0.3318825221252859,0.3430663706853193,0.3491101200631044,0.3502755363556234,0.3505634111799978,0.3505972794499301,0.3505991610244507,0.3505991610244507,0.3505991610244507
amq-5.15.0,0.6040993950248228,0.5355451687135996,0.4603925675760502,0.3908981059570614,0.3348628881966008,0.2969031342509327,0.2674326165675399,0.2590989423776224,0.2684689891347813,0.2876445877967886,0.3073631593588533,0.3243054006463288,0.3364945941216758,0.3436790934483051,0.3454049073512287,0.345690976244507,0.3457250772487525,0.3457269717494662,0.3457269717494662,0.3457269717494662
bookkeeper-4.2.0,0.6421209361704608,0.5706154266847668,0.5064393545102054,0.4540147895528205,0.4008038882149153,0.362077600156461,0.3441962712287991,0.3372930065916018,0.3379830932557717,0.3360666152018335,0.3546335237490921,0.3790859693699897,0.401192131535837,0.4242000205411004,0.4378922745565105,0.4391140231541351,0.4391683231128842,0.4391683231128842,0.4391683231128842,0.4391683231128842
bookkeeper-4.4.0,0.6260149816146815,0.564686952649843,0.5379254681173424,0.4787209742167447,0.4084873217551698,0.3772388596125569,0.3765980124700552,0.3805410880179573,0.389449107382031,0.402973317316379,0.419757862038597,0.4373097415455136,0.4562189127363876,0.4698830882403019,0.4764753404264892,0.4766344476672535,0.4766344476672535,0.4766344476672535,0.4766344476672535,0.4766344476672535
calcite-1.8.0,0.647641862698361,0.5831912181872285,0.5192917798131652,0.457014287600646,0.4055309729814547,0.3675613233482596,0.3468605720476759,0.3390300713188545,0.3428521742938134,0.354052418670433,0.3671015525276718,0.3853632520210248,0.4042964100735622,0.4186561270708309,0.4257599599317955,0.4283526926397527,0.4289383894021621,0.4292335891591678,0.4294752556399222,0.4296130288663733
calcite-1.11.0,0.6458956948960198,0.5839626242390749,0.5200270365352415,0.4579729509794553,0.408070609370017,0.3716973340374312,0.3487973584410895,0.3413585845649623,0.3468124666659025,0.3562170439173647,0.3705251832748599,0.3884777175454996,0.4075835459648763,0.4223721241832052,0.4297652319841132,0.4323507557953034,0.4330667396908371,0.4333565349252862,0.4335890740547052,0.4337204162684725
